Rank,CityName,StateName,StateCode,Population,Latitude,Longitude,GeonamePopulation,GeonameId
123,Mobile,Alabama,AL,194288,30.69436,-88.04305,195111,4076598
124,Salt Lake City,Utah,UT,192672,40.76078,-111.89105,186440,5780993
125,Huntsville,Alabama,AL,190582,34.73037,-86.5861,180105,4068590
126,Tallahassee,Florida,FL,189907,30.43826,-84.28073,181376,4174715
127,Grand Prairie,Texas,TX,187809,32.74596,-96.99778,175396,4694482
128,Overland Park,Kansas,KS,186515,38.98223,-94.67079,173372,4276873
129,Knoxville,Tennessee,TN,185291,35.96064,-83.92074,178874,4634946
130,Worcester,Massachusetts,MA,184815,42.26259,-71.80229,181045,4956184
131,Brownsville,Texas,TX,183887,25.90175,-97.49748,175023,4676740
132,Newport News,Virginia,VA,182385,37.08339,-76.46965,180719,4776024
133,Santa Clarita,California,CA,182371,34.39166,-118.54259,176320,5393049
134,Port St. Lucie,Florida,FL,179413,27.29393,-80.35033,164603,4169171
135,Providence,Rhode Island,RI,179207,41.82399,-71.41283,178042,5224151
136,Fort Lauderdale,Florida,FL,178590,26.12231,-80.14338,165521,4155966
137,Chattanooga,Tennessee,TN,176588,35.04563,-85.30968,167674,4612862
138,Tempe,Arizona,AZ,175826,33.41477,-111.90931,161719,5317058
139,Oceanside,California,CA,175691,33.19587,-117.37948,167086,5378771
140,Garden Grove,California,CA,175393,33.77391,-117.94145,170883,5351515
141,Rancho Cucamonga,California,CA,175236,34.1064,-117.59311,165269,5385955
142,Cape Coral,Florida,FL,175229,26.56285,-81.94953,154305,4149962
143,Santa Rosa,California,CA,174972,38.44047,-122.71443,167815,5393287
144,Vancouver,Washington,WA,172860,45.63873,-122.66149,161791,5814616
145,Sioux Falls,South Dakota,SD,171544,43.54997,-96.70033,153888,5231851
146,Peoria,Arizona,AZ,171237,33.5806,-112.23738,154065,5308480
147,Ontario,California,CA,171214,49.25014,-84.49983,12861940,6093943
148,Jackson,Mississippi,MS,170674,32.29876,-90.18481,173514,4431410
149,Elk Grove,California,CA,166913,38.4088,-121.37162,153015,5346111
150,Springfield,Missouri,MO,166810,37.21533,-93.29824,159498,4409896
151,Pembroke Pines,Florida,FL,166611,26.00315,-80.22394,154750,4168139
152,Salem,Oregon,OR,164549,44.9429,-123.0351,154637,5750162
153,Corona,California,CA,164226,33.87529,-117.56644,152374,5339631
154,Eugene,Oregon,OR,163460,44.05207,-123.08675,156185,5725846
155,McKinney,Texas,TX,162898,33.19762,-96.61527,131117,4710178
156,Fort Collins,Colorado,CO,161175,40.58526,-105.08442,143986,5577147
157,Lancaster,California,CA,161103,34.69804,-118.13674,156633,5364940
158,Cary,North Carolina,NC,159769,35.79154,-78.78112,135234,4459467
159,Palmdale,California,CA,158351,34.57943,-118.11646,152750,5380698
160,Hayward,California,CA,158289,37.66882,-122.0808,144186,5355933
161,Salinas,California,CA,157380,36.67774,-121.6555,150441,5391295
162,Frisco,Texas,TX,154407,33.15067,-96.82361,116989,4692559
163,Springfield,Massachusetts,MA,154341,42.10148,-72.58981,153060,4951788
164,Pasadena,Texas,TX,153784,29.69106,-95.2091,149043,4717782
165,Macon-Bibb County,Georgia,GA,153515,32.84069,-83.6324,91351,4207400
166,Alexandria,Virginia,VA,153511,38.80484,-77.04692,139966,4744091
167,Pomona,California,CA,153266,34.05529,-117.75228,149058,5384170
168,Lakewood,Colorado,CO,152597,39.70471,-105.08137,142980,5427946
169,Sunnyvale,California,CA,151754,37.36883,-122.03635,140081,5400075
170,Escondido,California,CA,151451,33.11921,-117.08642,143911,5346827
171,Kansas City,Kansas,KS,151306,39.11417,-94.62746,145786,4273837
172,Hollywood,Florida,FL,149728,26.0112,-80.14949,140768,4158928
173,Clarksville,Tennessee,TN,149176,36.52977,-87.35945,132929,4613868
174,Torrance,California,CA,148475,33.83585,-118.34063,145438,5403022
175,Rockford,Illinois,IL,148278,42.27113,-89.094,152871,4907959
176,Joliet,Illinois,IL,147861,41.52519,-88.0834,147433,4898015
177,Paterson,New Jersey,NJ,147754,40.91677,-74.17181,146199,5102466
178,Bridgeport,Connecticut,CT,147629,41.16704,-73.20483,144229,5282804
179,Naperville,Illinois,IL,147100,41.78586,-88.14729,141853,4903279
180,Savannah,Georgia,GA,145674,32.08354,-81.09983,136286,4221552
