ticker,min_date,max_date
CACI,1984-09-07,2017-11-06
CACQ,2013-11-19,2017-10-05
CAG,1984-09-07,2017-11-06
CAH,1987-12-31,2017-11-06
CAKE,1992-09-18,2017-11-06
CALD,2003-11-20,2017-11-06
CALL,1996-02-07,2017-11-06
CALM,1996-12-12,2017-11-06
CALX,2010-03-24,2017-11-06
CAM,1995-07-05,2016-04-01
CAMP,1984-09-07,2017-11-06
CAP,2007-05-16,2015-08-13
CAR,1990-01-12,2017-11-06
CARA,2014-01-31,2017-11-06
CARB,2011-08-11,2017-11-06
CAS,1980-03-17,2016-12-06
CASH,1993-09-21,2017-11-06
CASS,1996-01-02,2017-11-06
CASY,1983-10-20,2017-11-06
CAT,1962-01-02,2017-11-06
CATM,2007-12-13,2017-11-06
CATO,1987-04-23,2017-11-06
CATY,1990-12-17,2017-11-06
CAVM,2007-05-02,2017-11-06
CB,1984-09-07,2017-11-06
CBB,1987-05-21,2017-11-06
CBEY,2005-11-10,2014-07-18
CBF,2012-09-20,2017-11-06
CBG,2004-06-10,2017-11-06
CBI,1997-03-27,2017-11-06
CBK,1992-03-31,2017-11-06
CBL,1993-10-28,2017-11-06
CBM,1987-09-23,2017-11-06
CBOE,2010-06-15,2017-11-06
CBPX,2014-02-05,2017-11-06
CBR,1994-03-17,2017-04-10
CBRL,1984-09-07,2017-11-06
CBS,2005-12-05,2017-11-06
CBSH,1984-09-07,2017-11-06
CBST,1996-10-25,2015-01-21
CBT,1980-11-05,2017-11-06
CBU,1985-11-27,2017-11-06
CBZ,1995-04-27,2017-11-06
CCBG,1997-02-03,2017-11-06
CCC,1987-06-03,2017-11-06
CCE,1986-11-24,2017-11-06
CCF,1995-10-25,2017-11-06
CCG,2010-10-14,2016-03-02
CCI,1998-08-18,2017-11-06
CCK,1984-12-18,2017-11-06
CCL,1989-01-05,2017-11-06
CCMP,2000-04-05,2017-11-06
CCNE,1996-05-30,2017-11-06
CCO,2005-11-14,2017-11-06
CCOI,2002-02-05,2017-11-06
CCRN,2001-10-25,2017-11-06
CCXI,2012-02-08,2017-11-06
CDE,1990-04-12,2017-11-06
CDI,1989-06-29,2017-09-12
CDNS,1990-03-26,2017-11-06
CDR,1993-02-19,2017-11-06
CE,2005-01-21,2017-11-06
CEB,1999-02-23,2017-04-04
CECE,1993-02-19,2017-11-06
CECO,1998-01-29,2017-11-06
CELG,1990-03-26,2017-11-06
CEMP,2012-02-06,2017-11-03
CENTA,2007-02-06,2017-11-06
CENX,1996-03-29,2017-11-06
CERN,1990-03-26,2017-11-06
CERS,1997-01-31,2017-11-06
CETV,1994-10-14,2017-11-06
CEVA,2002-11-01,2017-11-06
CF,2005-08-11,2017-11-06
CFFI,1998-05-07,2017-11-06
CFFN,1999-04-01,2017-11-06
CFG,2014-09-24,2017-11-06
CFI,1990-03-26,2017-07-12
CFN,2009-08-21,2015-03-16
CFNB,1987-04-09,2017-11-06
CFNL,1998-07-17,2017-04-21
CFR,1990-03-26,2017-11-06
CFX,2008-05-08,2017-11-06
CGI,1994-01-21,2017-11-06
CGNX,1989-10-09,2017-11-06
CHCO,1993-02-19,2017-11-06
CHD,1986-03-06,2017-11-06
CHDN,1993-03-29,2017-11-06
CHDX,1994-08-19,2014-09-29
CHE,1973-05-03,2017-11-06
CHEF,2011-07-28,2017-11-06
CHFC,1992-03-11,2017-11-06
CHFN,2002-08-02,2017-11-06
CHGG,2013-11-13,2017-11-06
CHH,1996-10-16,2017-11-06
CHK,1993-02-16,2017-11-06
CHKP,1996-06-28,2017-11-06
CHMG,1999-01-04,2017-11-06
CHMT,2010-10-26,2017-04-20
CHRW,1997-10-16,2017-11-06
CHS,1993-03-24,2017-11-06
CHSP,2010-01-26,2017-11-06
CHTP,2005-11-10,2014-06-23
CHTR,2010-01-05,2017-11-06
CHUY,2012-07-24,2017-11-06
CI,1982-03-31,2017-11-06
CIA,1988-12-05,2017-11-06
CIDM,2003-11-10,2017-11-06
CIE,2009-12-16,2017-11-06
CIEN,1997-02-07,2017-11-06
CIFC,2005-06-29,2016-11-21
CIM,2007-11-29,2017-11-06
CINF,1990-03-26,2017-11-06
CIR,1999-10-18,2017-11-06
CIT,2009-12-10,2017-11-06
CIX,1998-03-06,2017-11-06
CJES,2011-07-29,2016-07-20
CKEC,2001-01-18,2016-12-21
CKH,1992-12-17,2017-11-06
CKP,1986-11-12,2016-05-13
CL,1977-01-03,2017-11-06
CLC,1990-03-26,2017-02-27
CLCT,1999-11-05,2017-11-06
CLD,2009-11-20,2017-11-06
CLDT,2010-04-16,2017-11-06
CLDX,1990-03-26,2017-11-06
CLF,1987-11-05,2017-11-06
CLFD,1986-08-07,2017-11-06
CLGX,1990-03-23,2017-11-06
CLH,1990-03-26,2017-11-06
CLI,1994-08-25,2017-11-06
CLMS,2004-10-28,2017-02-21
CLNE,2007-05-25,2017-11-06
CLNY,2009-09-24,2017-01-10
CLR,2007-05-15,2017-11-06
CLUB,2006-06-02,2017-11-06
CLVS,2011-11-16,2017-11-06
CLW,2008-12-05,2017-11-06
CLX,1983-03-21,2017-11-06
CMA,1990-03-26,2017-11-06
CMC,1987-11-05,2017-11-06
CMCO,1996-02-28,2017-11-06
CMCSA,1988-07-07,2017-11-06
CMCSK,1990-03-26,2015-12-11
CME,2002-12-06,2017-11-06
CMG,2006-01-26,2017-11-06
CMI,1984-12-18,2017-11-06
CMLS,2002-04-09,2017-11-06
CMN,1993-02-19,2016-12-02
CMO,1987-11-05,2017-11-06
CMP,2003-12-12,2017-11-06
CMRX,2013-04-11,2017-11-06
CMS,1984-12-31,2017-11-06
CMTL,1992-02-18,2017-11-06
CNA,1985-07-11,2017-11-06
CNBC,1996-05-30,2014-06-30
CNBKA,1990-03-27,2017-11-06
CNC,2001-12-13,2017-11-06
CNDO,2011-11-17,2015-04-27
CNK,2007-04-24,2017-11-06
CNL,1987-11-05,2016-04-13
CNMD,1990-03-26,2017-11-06
CNO,2003-09-10,2017-11-06
CNOB,1996-05-30,2017-11-06
CNP,1970-01-02,2017-11-06
CNQR,1998-12-16,2014-12-04
CNS,2004-08-16,2017-11-06
CNSI,2012-10-24,2015-09-08
CNSL,2005-07-22,2017-11-06
CNVR,2000-03-31,2014-12-10
CNW,1980-01-02,2015-10-29
CNX,1999-04-30,2017-04-25
COB,1996-11-15,2016-10-25
COBZ,1998-06-18,2017-11-06
COCO,1999-02-05,2015-02-13
CODE,2010-05-18,2015-03-12
COF,1994-11-16,2017-11-06
COG,1990-02-08,2017-11-06
COH,2000-10-06,2017-10-30
COHR,1990-03-26,2017-11-06
COHU,1986-11-12,2017-11-06
COKE,1990-03-26,2017-11-06
COL,2001-06-15,2017-11-06
COLB,1992-06-16,2017-11-06
COLM,1998-03-27,2017-11-06
CONE,2013-01-18,2017-11-06
CONN,2003-11-25,2017-11-06
COO,1983-12-30,2017-11-06
COP,1981-12-31,2017-11-06
COR,2010-09-23,2017-11-06
CORE,2005-04-13,2017-11-06
CORR,2007-02-02,2017-11-06
CORT,2004-04-14,2017-11-06
COST,1986-07-09,2017-11-06
COTY,2013-06-13,2017-11-06
COUP,2016-10-06,2017-11-06
COV,2007-06-14,2015-01-26
COVS,2013-09-26,2017-07-26
COWN,2006-07-13,2017-11-06
CPA,2005-12-15,2017-11-06
CPB,1985-07-01,2017-11-06
CPE,1990-03-26,2017-11-06
CPF,1990-03-26,2017-11-06
CPGX,2015-07-02,2016-06-30
CPHD,2000-06-23,2016-11-04
CPK,1990-03-26,2017-11-06
CPLA,2006-11-10,2017-11-06
CPN,2008-01-10,2017-11-06
CPRT,1994-03-17,2017-11-06
CPS,2010-05-27,2017-11-06
CPSI,2002-05-21,2017-11-06
CPSS,1993-02-22,2017-11-06
CPST,2000-06-30,2017-11-06
CPT,1993-07-22,2017-11-06
CPWR,1992-12-16,2014-12-15
CQB,1986-08-01,2015-01-06
CR,1984-11-01,2017-11-06
CRAI,1998-04-24,2017-11-06
CRAY,1995-09-27,2017-11-06
CRCM,2014-01-24,2017-11-06
CRD_B,1990-01-12,2017-11-06
CREE,1993-02-09,2017-11-06
CRI,2003-10-28,2017-11-06
CRIS,2000-08-01,2017-11-06
CRK,1990-03-26,2017-11-06
CRL,2000-06-23,2017-11-06
CRM,2004-06-23,2017-11-06
CRMT,1993-11-09,2017-11-06
CROX,2006-02-08,2017-11-06
CRR,1996-04-23,2017-11-06
CRRC,1990-03-27,2015-06-05
CRRS,1999-05-03,2015-03-03
CRS,1987-11-05,2017-11-06
CRUS,1990-03-26,2017-11-06
CRVL,1991-06-28,2017-11-06
CRWN,2000-05-08,2016-04-29
CRY,1993-02-12,2017-11-06
CRZO,1997-08-06,2017-11-06
CSBK,2004-05-11,2017-11-06
CSC,1981-12-31,2017-03-31
CSCD,2004-12-15,2016-06-24
CSCO,1990-03-26,2017-11-06
CSE,2003-08-07,2014-04-07
CSFL,2001-01-30,2017-11-06
CSG,2013-05-21,2015-12-17
CSGP,1998-07-01,2017-11-06
CSGS,1996-02-28,2017-11-06
CSH,1987-12-30,2016-09-01
CSII,2006-06-28,2017-11-06
CSL,1987-11-05,2017-11-06
CSLT,2014-03-14,2017-11-06
CSOD,2011-03-17,2017-11-06
CSRA,2015-11-30,2017-11-06
CSS,1992-03-17,2017-11-06
CST,2013-04-17,2017-06-27
CSU,1997-10-31,2017-11-06
CSV,1996-08-09,2017-11-06
CSWC,1990-03-27,2017-11-06
CSX,1980-11-03,2017-11-06
CTAS,1990-03-26,2017-11-06
CTB,1987-11-05,2017-11-06
CTBI,1993-05-17,2017-11-06
CTCT,2007-10-12,2016-02-09
CTG,1988-01-05,2017-11-06
CTIC,1997-03-21,2017-11-06
CTL,1987-11-05,2017-11-06
CTO,1992-09-08,2017-11-06
CTRE,2014-05-29,2017-11-06
CTRL,2013-08-02,2017-11-06
CTRN,2005-05-18,2017-11-06
CTRX,2006-06-13,2015-07-23
CTS,1987-11-05,2017-11-06
CTSH,1998-06-19,2017-11-06
CTT,2013-12-12,2017-11-06
CTWS,1992-02-25,2017-11-06
CTXS,1995-12-08,2017-11-06
CUB,1989-02-21,2017-11-06
CUBE,2004-10-22,2017-11-06
CUBI,2012-03-14,2017-11-06
CUDA,2013-11-06,2017-11-06
CUI,1999-09-15,2017-11-06
CUNB,2005-11-10,2017-10-20
CUR,2007-03-30,2017-11-06
CUTR,2004-03-31,2017-11-06
CUZ,1990-03-26,2017-11-06
CVA,1992-03-17,2017-11-06
CVBF,1992-03-17,2017-11-06
CVC,1992-03-17,2016-06-20
CVCO,2003-07-01,2017-11-06
CVD,1996-12-17,2015-02-18
CVEO,2014-05-19,2017-11-06
CVG,1998-08-13,2017-11-06
CVGI,2004-08-09,2017-11-06
CVGW,2002-07-22,2017-11-06
CVI,2007-10-23,2017-11-06
CVLT,2006-09-22,2017-11-06
CVO,1995-09-22,2017-11-06
